id,sentence,M,R,S,W
2009_12, 東部 的 經濟 也 依靠 游客 來 發展 。,0,0,1,0
2009_13, 雖然 讓 經濟 發展 看起來 是 個 急迫 的 事 ， 但 保護 環境 是 更 重要 的 。,0,0,1,0
2010_1, 現今 台灣 經濟 發展 偏於 西部 ， 可能 因為 台灣人 的 絕大部分 是 漢民族 ， 漢民族 是 從 中國 大陸 過來 的 ， 中國 大陸 在於 台灣 西部 ， 這 是 難以 避免 的 事實 。,0,1,1,0
2010_3, 我 猜想 台灣 的 發展 也 有 類似 的 過程 ， 台灣 西部 比較 發展 的 原因 在於 人 較多 ， 於是 我 認為 許多 人 居住 東部 ， 很 有 可能 幫助 東部 的 經濟 發展 。,1,0,1,0
2010_4, 為 了 使 很多 人 移到 東部 ， 當然 要 考慮 交通 問題 ， 最近 從 台北 到 蘇澳 方面 開通 了 隧道 ， 這 也 是 促進 讓 人 移到 東部 的 一 種 措施 ， 而且 超過 半數 的 花蓮 居民 也 認為 這 將 有利於 當地 經濟 的 發展 ， 事 到 如此 ， 興建 高速 公路 是 自然 的 趨勢 。,0,1,1,0
2010_5, 雖然 有些 環保 團體 與 生態 專家 認為 這 項 工程 將 破壞 生態環境 ， 但 我 認為 興建 高速 公路 的 過程 中 破壞 的 環境 不 大 ， 不會 損害 台灣 東部 的 美景 ， 而且 環保 問題 應該 要 從 地球 規模 的 觀點 來 考慮 ， 全球 的 表面積 來 算 ， 這 工程 會 損害 的 自然 是 極 小 部分 而已 。,1,0,1,0
2010_7, 不 做為 進行 環保 ， 那 是 消極 的 環保 ， 我 認為 環保 應該 是 積極 爭取 的 ， 因此 我 不 贊同 這 想法 。,1,0,0,1
2010_8, 於是 我 認為 此 工程 對 經濟 發展 的 正 影響 大於 對 環境 保護 的 負 影響 ， 因而 我 贊成 興建 高速 公路 。,0,0,1,0
2013_0, 關於 經濟 發展 與 環境 保護 之 主題 ， 我 的 觀點 是 ， 站 在 花蓮 居民 而言 ， 因 興建 這 條 高速 公路 會 帶來 給 當地人 許多 利益 ， 因此 根據 調查 顯示 ， 大部分 公民 對 這 項 計畫 都 同意 。,1,1,0,1
2013_1, 但是 有 可能 大家 只 針對 個人 將 的 權利 而 忘記 了 環境 保護 之 問題 。,0,1,0,0
2013_2, 反而 如果 站 在 環保 團體 與 生態 專家 角度 來 說 ， 他們 已 提出 警告 ， 並且 其中 有 人 會 有 激動 的 反對 。,0,1,1,0
2013_3, 因此 ， 若 不同 職業 之 人們 亦 不同 的 觀法 。,1,0,0,0
2013_4, 不管 在 任何 一 個 國家 或者 是 某 個 地區 ， 若 對 外 交通 方面 比較 方便 時 ， 它 一定 把 經濟 跟 著 發展 。,0,1,0,1
2013_5, 我 舉 個 例子 說明 ， 居 我 所 知道 ， 台灣 的 交通 方面 很 方便 ， 如 高速 公路 、 高鐵路 、 捷運 等 都 有 ， 尤其 在 市 內 路網 為 明顯 ， 所以 台灣 經濟 跟 其他 東南亞 地區 比起來 發展 真 快 。,1,1,1,0
2013_6, 今 幾 年 來 的 ， 全 世界 最 重要 與 關心 的 問題 就 是 環境 。,1,1,1,0
2013_8, 如果 讓 我 對 兩 個 議題 其中 選擇 一 個 ， 我 會 以 興建 這 條 高速 公路 為主 ， 但 透過 施工 過程 的 時候 ， 一定 必須 遵守 環保 ， 怎麼 減少 消失 貴 動物 及 破壞 生態 。,1,0,1,0
2013_9, 環境 天然 帶來給 人家 美麗 的 風景 、 鮮 的 空氣 等 。,0,0,1,1
2016_0, 現在 的 電視 、 報導 不 解說 地球 暖化 以及 環境 污染 的 問題 ， 並 呼喚 人類 保護 環境 ， 但 另一方面 又 一直 提出 許多 經濟 發展 的 專案 。,0,0,1,0
2016_1, 面對 這 兩 個 相 衝 的 問題 ， 我們 ， 聰明 的 人類 會 如何 解決 呢 ？,0,0,1,0
2016_4, 但 為什麼 經濟 發展 會 與 環境 保護 相衝 呢 ？,0,0,1,0
2016_15, 經濟 不斷 發展 ， 工廠 、 房地 也 不斷 地 建設 ， 環境 更 不斷 地 污染 。,1,0,1,0
2016_17, 如果 環境 以 這 個 速度 汙染 下去 ， 人類 根本 無法 生存 在 這 個 地球 上 ， 還 用 講 什麼 經濟 發展 嗎 ？,0,0,1,0
2018_0, 我 覺得 現在 我們 的 世界 已經 發展 了 很多 ， 環境 已經 被 傷害 了 不少 ， 完全 都 是 為 了 人們 的 方便 。,0,0,1,0
2018_1, 可是 現在 我們 已經 快 沒有 很 好 的 空氣 了 ， 所以 我 對 這 件 事 覺得 我們 應該 注意到 環境 保護 。,1,0,0,0
2018_2, 花蓮 是 一 個 很 漂亮 的 地方 ， 不但 漂亮 ， 而且 花蓮 的 人 都 是 很 熱情 。,0,1,0,0
2018_3, 可是 如果 花蓮 變成 只是 為了 經濟 發展 的 地方 ， 那 以後 花蓮 就 不 是 今天 的 這樣 了 。,0,1,1,0
2018_4, 花蓮 在 台灣 的 東部 ， 如果 要 到 花蓮 玩 不 是 從 北部 開車 下去 ， 就 要 從 南部 開上去 ， 因為 台灣 的 中間 有 一 座 大 山 ， 很 不 容易 過得去 。,0,0,1,0
2018_7, 去 花蓮 的 特點 就 是 要 看 路 邊 風景 。,1,0,0,0
2018_8, 可是 如果 為了 經濟 發展 有 了 高速 公路 ， 花蓮 一定 有 很多 遊客 ， 但是 他們 只 可以 去到 花蓮 可是 不能 感受到 漂亮 的 花蓮 了 ， 而且 如果 花蓮 變 得 很 發展 ， 花蓮 的 人 也 不會 像 以前 那樣 熱情 了 ， 因為 大家 都 只 會 主意到 錢 的 方面 。,1,1,1,0
2018_9, 以後 花蓮 的 人 就 沒有 那 種 魅力 的 特點 了 。,1,0,0,0
2018_10, 台灣 已經 是 一 個 經濟 很 發展 的 國家 ， 而且 也 很 關心 保護 環境 。,1,0,1,0
2018_11, 到 哪 邊 去 都 會 看到 回收 的 垃圾桶 ， 而 台灣人 都 很 有 細心 分類 哪些 垃圾 ， 這樣 對 環境 有 很 大 的 好處 。,1,1,1,0
2019_0, 現代 是 二十一世紀 ， 在 這 個 資訊 爆發 、 科技 進步 的 時代 ， 也 開始 出現 了 許多 公業 發達 的 國家 ， 可是 與 此 同時 ， 地球 的 資源 也 和 科技 成反 比例 ， 逐漸 地 減少 ， 有的 甚至 已經 絕種 了 。,0,0,1,0
2019_1, 所以 很多 人 都 開始 倡導 如何 環保 地球 、 保護 大家 的 生存空間 。,0,0,1,0
2019_2, 台灣 是 一 座 美麗 的 寶島 ， 也 是 很多 美麗 的 生態 植物 賴以 生存 的 家 ， 而且 這裡 還 有 佷多 世界 上 台灣 惟有 的 動物 品種 ， 例如 ： 台灣 鱒 就 是 最 好 的 代表 。,0,0,1,0
2019_3, 可是 最近 台灣 為了 經濟 的 發展 要 開發 一 條 蘇花 高速 公路 ， 這 條 公路 的 開發 主要 是 為了 通路 的 發展 ， 打開 經濟 的 大 路 ， 雖然 未來 的 幾 年 這 條 公路 帶來 的 發展 與 便利 有 著 很 大 的 利益 ， 可是 反過來 看 ， 這 條 公路 所 帶來 的 影響 卻 是 非常 的 厖 大 ， 為什麼 呢 ？,0,0,1,1
2019_4, 佷間單 ， 因為 經濟 是 可以 用 別的 方式 獲得 ， 可是 ， 自然 生態環境 卻 是 很 難 再生 的 ， 尤其 是 動物 ， 只要 絕種 了 ， 世界 就 不再 有 這 種 動物 ， 而且 生態 自然 環境 是 大家 的 ， 愛護 自然 環境 人人 有責 ， 因為 它 是 我們 大家 的 家 ， 這 是 原因 之 一 。,1,0,1,0
2019_5, 其二 ， 雖然 台灣 的 自然 環境 已經 佷少 了 ， 再 加上 近年 世界 面臨 資源 種種 困境 ， 產生 了 氣溫 升高 、 北極 冰山 融解 等 問題 ， 許多 專家 都 大力 警告 了 ， 可是 很多 人 都 不 加 理會 ， 所以 ， 如果 想要 希望 地球 還 能 更 好 ， 就 好 保護 環境 ， 停止 蘇花 高 的 建設 。,1,1,1,0
2020_0, 凡 人 都 很 自私 ， 自己 可否 得利 是 個 決策 的 重點 。,0,1,0,0
2020_2, 贊成 經濟 開發 的 人 ， 心 裡 總 有 個 期待 ， 我 的 房子 會 大漲 ， 應該 賺 不少 錢 。,1,0,0,0
2020_10, 為了 環保 而 限制 台東 地區 的 開發 的話 ， 難免 當地 居民 的 反彈 ， 政府 以 調整 納稅 政策 的 方式 也好 ， 或者 提出 一些 方案 來 回饋 當地 民眾 。,1,1,1,0
2020_11, 有 人 說 大地 是 我們 人類 的 母親 ， 摧毀 大自然 等於 是 自滅 生存空間 。,0,0,1,0
2022_0, 我 支持 這 個 建築 高速 公路 的 案件 。,0,0,1,0
2022_1, 台灣 現在 有 Ｍ型 社會 的 趨勢 ， 越來越 嚴重 。,1,0,0,0
2022_2, 台灣 的 西部 因為 有 交通 的 優點 ， 發展 了 很多 。,0,0,1,0
2022_3, 最近 又 有 高鐵 ， 高雄 也 開始 運用 了 捷運 ， 西部 和 東部 的 差別 ， 越來越 明顯 了 。,0,1,0,0
2022_4, 這樣 的 情況 下 ， 東部 的 國民 願望 建設 高速 公路 是 我 覺得 理所當然 的 事情 。,1,0,1,1
2022_5, 去年 台北 跟 宜蘭 之間 ， 通 了 新 隧道 ， 造成 了 台北 跟 東部 很 熱鬧 的 交流 。,0,1,1,0
2022_7, 方便 了 好 多 了 。,0,1,1,0
2022_8, 而且 我 覺得 建設 高速 公路 的 好處 是 不至 這 一些 ， 其實 醫療 方面 、 國防 方面 也 有 相當 的 意義 。,1,0,1,1
2022_9, 最近 中國 大陸 發生 了 很 大 的 地震 ， 鬧 了 整 個 世界 ， 發生 地點 是 四川省 （ 包括 成都 和 很多 原住民 的 部落 ） ， 這些 地方 因為 交通 不 方便 ， 也 有 些 地方 沒有 道路 ， 中國 解放軍 沒有 辦法 順利 去 救拯 地震 的 被 害 者 。,0,0,1,0
2022_10, 這些 鄉下 的 地方 ， 如果 有 堅固 的 高速 公路 的話 ， 說不定 能夠 減小 這 次 地震 的 被 害 者 。,0,0,1,0
2022_11, 也 可以 把 受傷 的 人 很 快 送出 醫院 看醫生 。,0,0,1,0
2022_12, 當然 環保 的 概念 也 非常 的 重要 ， 不可以 把 台灣 東部 的 好 山 好 水 變成 公害 景點 。,0,1,0,0
2022_14, 可是 看 現在 東部 的 經濟 狀況 ， 沒有 像 西部 那樣 的 發展 ， 旅客 也 沒有 很多 。,1,0,0,0
