id,sentence,M,R,S,W
0150_7, 我 會 在 外面 的 星巴克 停車場 等 你 ， 車子 是 黑色 的 福特 ， 窗戶 會 寫 ： 歡迎 王宜家 來到 西雅圖 ！,1,0,0,0
0150_15, 然後 我 就 聊聊天 吧 。,0,0,1,0
0150_22, 因為 終於 能 見到 你 ， 我 感覺 那 天 也 一定 會 戴上 一 個 很 大 的 笑容 。,0,0,1,0
0152_2, 終於 我們 要 見面 ， 認識 對方 。,1,0,0,0
0152_4, 對 我 來說 ， 週末 最 合適 的 時間 見面 ， 又 不 需要 上學 也 不 需要 上班 ， 我們 就 可以 快快樂樂 ， 很 輕鬆 地 玩 ， 不會 有 時間 的 壓力 。,1,1,0,0
0152_7, 我 穿 的 衣服 ， 我 會 全部 穿 紅色 的 ， 你 呢 ， 你 就 可以 從 頭 到 腳 全部 穿 黃色 的 衣服 。,0,1,0,0
0152_8, 如果 用 這 個 方法 還 看 不 出來人 ， 只好 就 用 手機 打給 對方 。,0,0,1,1
0152_10, 這樣 就 可以 新 朋友 過 一 個 很 快樂 的 一 天 。,1,0,0,0
0152_11, 請 您 給 我 回答 ，,0,0,1,0
0153_2, 我們 認識 了 這麼 久 終於 可以 面對面 聊天 ， 真的 是 有點 不 習慣 ！,1,0,0,0
0153_3, 想到 要 跟 你 見面 讓 我 有點 緊張 ， 不 知道 為什麼 會 這樣 ， 通常 跟 新 朋友 或是 不 熟 的 朋友 出去 都 不會 這樣子 ， 可是 一 想到 要 跟 你 見面 我 就 緊張 起來 了 ， 我 看 是 因為 我們 的 交往 還是 有 一點 新鮮 的 感覺 。,0,0,1,0
0153_7, 如果 方便 的話 ， 我 也 可以 一起 吃 晚餐 ， 我 知道 很多 好吃 的 地方 ， 在 東區 那邊 ， 所以 我 覺得 如果 我們 六點 在 忠孝 敦化 捷運站 聚合 是 最 好 的 地點 ， 在 那裡 我 可以 在 四號 出口 等 你 ， 穿 一 套 黃色 的 運動 衣服 ， 保證 你 一定 馬上 就 看到 我 了 。,1,0,1,0
0154_2, 我們 可以 在 下 個 禮拜二六點鐘 在 台電 大樓 捷運站 的 第三 出口 見面 ， 在 那裡 見面 很 方便 ， 因為 離 許多 餐廳 很 近 ， 而且 近 師大 夜市 。,1,0,0,0
0154_7, 下 個 禮拜 的 第一 次 見面 讓 我 一點 緊張 。,0,0,1,0
0154_10, 這 八 個 月 以來 ， 我 開始 真的 很 喜歡 你 ， 感覺 像 我們 之間 的 距離 越來越 小 。,0,1,0,0
0154_12, 如果 一 個 禮拜 沒有 收到 你 的 信 ， 就 立刻 會 開始 不 舒服 ， 很 想念 你 。,0,1,0,0
0154_17, 我 之前 寄 了 我 的 照片 給 你 看 ， 不過 那 張 照片 不一定 讓 你 認出 我 ， 所以 我 想出 了 一 個 讓 你 比較 容易 認出 我 的 方法 ； 我 會 穿 一 件 紅色 的 襯衫 ， 一 條 黑色 的 牛仔褲 ， 手 裡 會 拿 著 一 朵 紅色 的 玫瑰花 。,1,0,0,0
0154_18, 這樣 你 一定 會 認出 我 的 吧 ！,0,0,1,0
0155_3, 所以 我們 打算 一起 出玩 。,1,0,1,0
0155_4, 我 有 一 個 好 辦法 。,0,0,1,0
0155_6, 聽說 那 個 動物園 最近 很 玩 了 。,0,1,1,0
0155_7, 每 天 看 得 到 虎子 吃 東西 ， 魚 們 的 表演 ， 動物 們 的 打仗 ， 等等 。,0,0,1,0
0155_13, 尤其 是 用 肉 的 菜 非常 好吃 。,1,0,0,0
0155_15, 氣氛 會 一定 好 的 。,0,0,0,1
0155_19, 我 忘記 了 告訴 你 很 重要 的 事 。,0,1,0,0
0155_20, 我 的 車子 不 裝 冷氣 。,0,0,1,0
0155_23, 還有 在 動物園 應該 走 很 久 的 時間 。,1,0,0,0
0155_24, 所以 運動 鞋子 才 好 。,1,0,1,0
0155_26, 期待 得 我 不 睡覺 。,0,0,1,0
0155_27, 當然 我 會 一定 開心 。,0,0,0,1
0157_3, 我 很 期待 下 次 我們 的 約會 。,0,0,0,1
