id,sentence,M,R,S,W
3477_17, 我 想 停 時間 ， 繼續 一點 我們 的 快樂 。,1,0,1,1
3477_18, 我 覺得 我 好運 ， 找到 這樣 好 的 男朋友 。,1,0,0,0
3477_19, 我 的 男朋友 很 有 幽默 。,0,1,0,0
3477_20, 去 玩 的 時候 我 都 不停 笑 。,1,0,0,0
3477_21, 我 也 喜歡 他 照顧 我 的 時候 很 溫柔 也 很 注意 。,0,0,1,0
3477_22, 一 次 下 大雨 了 ， 我 的 腳 都 是 濕 的 。,1,0,0,0
3477_23, 他 拿 了 毛巾 裝起來 我 的 腳 ， 然後 給 了 一 杯 牛奶 ， 什麼 都 會 做 ， 就 不要 讓 我 感冒 。,1,1,1,1
3477_26, 這 是 我 的 最近 生活 。,1,0,0,0
3478_3, 但是 雖然 台灣人 從小 就 開始 學 英文 ， 像 外語 ， 我 發現 台灣人 不 太 敢 講 英文 。,1,1,0,0
3478_4, 我 只好 用 中文 跟 他們 連絡 。,0,0,1,0
3478_5, 最近 對 我 最 好 的 經驗 是 參加 一 個 音樂團 。,1,0,0,0
3478_7, 那 我 會 看看 我 的 中文 能力 多 好 （ 本來 真的 不 太 好 ） 。,0,0,1,0
3478_8, 接下來 ， 為什麼 參加 那 個 音樂團 ， 有 怎麼 好 呢 ？,0,0,1,0
3478_9, 其實 是 因為 我 從 那兒 交 了 一 個 女朋友 。,0,0,1,0
3478_10, 她 吹 長笛 得 超棒 ， 也 她 長 得 很 漂亮 。,1,1,0,0
3478_14, 我 在 電梯 假裝 努力 地 看 海報 ， 站 著 在 那兒 一 個 半 小時 多 。,1,0,0,0
3478_15, 總算 我 看到 一 個 女生 帶 著 樂器 ， 請 她 是 不 是 跟 我 一樣 想 參加 那 個 音樂團 。,1,0,1,0
3478_16, 我 的 中文 怎麼 爛 ， 我 不能 直接 問 她 ， 她 就 放棄 了 ， 開始 跟 我 講 英文 。,1,0,1,0
3478_17, 其實 她 的 英文 好好 的 ， 她 在 美國 留學 過 。,1,0,1,0
3478_19, 我 跟 她 在一起 的 時候 ， 我 開心 地 不得了 。,0,0,1,0
3478_21, 尤其 是 因為 她 會 講 英文 ， 我 會 放鬆 一點兒 。,0,0,1,0
3478_24, 我 還 會 想念 你 跟 我 家人 ， 可是 阿順 好好兒 地 照顧 我 。,1,1,0,0
3478_25, 我 生病 的 時候 ， 我 一直 可以 靠 她 的 幫助 。,0,0,0,1
3478_26, 她 不 容易 生氣 ， 因為 她 聰明 ； 她 對 心理 很 熟 ， 所以 她 很 會 了 解 人 。,0,0,1,0
3478_27, 你 看 我 已經 可以 用 中文 寫 一 封 信 ， 是 為了 她 耐心 的 幫助 ， 我 的 中文 進步 得 很多 了 。,1,1,1,0
3478_28, 芳祝,0,0,1,0
3480_5, 在 最初 的 時候 ， 她 還 不 太 喜歡 我 ， 可是 時間 過 了 一會兒 就 漸漸 地 好轉下來 ， 終於 也 變成 好朋友 ， 然後 才 變成 戀愛 。,0,0,1,0
3480_9, 她 可以 說好 英文 ， 也 還可以 說 日文 。,0,1,0,0
3480_13, 我 跟 她 在一起 的 時候 ， 我 覺得 這 個 世界 是 樂園 ， 沒 吃 麼 東西 也 可以 生活 下去 。,0,0,1,0
3482_1, 我 有 一 個 重要 事情 要 告訴 你 。,1,0,0,0
3482_2, 我 要 讓 你 想 一 想 是 甚麼 事情 ？,0,0,1,0
3482_3, 哈 哈 哈 ， 我 知道 你 想 得 不錯 ， 就 是 我們 上 次 談談 的 事情 ， 我 的 愛情 。,0,0,1,0
3482_4, 現在 我 在 交 一 個 女朋友 啊 。,1,1,0,0
3482_6, 我們 一起 上 兩 個 同 課 。,0,0,1,0
3482_7, 其 此 她 跟 我 不 像 ， 因為 她 不 是 研究所 學生 ， 她 是 大學生 。,0,0,1,0
3482_10, 我 跟 她 在一起 的 時候 ， 我 覺得 我們 一定 是 命 裡 的 雙愛人 。,0,0,1,0
3482_13, 她 也 是 我 幸福 ， 為何 她 的 愛 讓 我 變 得 猶豫 。,1,0,0,0
3482_14, 我 要 弄 她 我 孩子 的 媽媽 。,1,0,1,0
3482_16, 你 不要 笑 啦 ， 我 真的 講話 ， 不 是 在 開玩笑 。,0,0,1,0
3482_18, 每 個 週末 ， 她 到 我 的 地方 來 幫 我 作 房事 。,0,0,1,0
3482_23, 但是 我 看見 她 美麗 的 眼睛 在 看 我 吃 她 做 的 菜 以後 ， 我 要 吃光 了 。,1,0,0,0
3483_1, 我 最近 開始 交 女朋友 了 ， 一 位 表面 看起來 不 是 很 漂亮 ， 但 個性 很 開朗 且 心地 很 好 的 女人 。,0,1,0,0
3483_2, 在 半 年 前 ， 她 開始 在 我們 公司 上班 的 第一 天 ， 主任 分配 由 我 帶 著 她 一起 工作 ， 可能 是 新人 吧 ！,1,0,0,0
3483_4, 但 後來 她 開始 進入 狀況 後 ， 我 開始 發現 她 問題 很多 ， 因為 她 是 個 很 細心 的 人 。,0,0,1,0
3483_5, 她 的 原則 是 要 做 的 事 ， 必須 要 做對 ， 所以 她 會 先 了 解 整 個 細節 後 ， 才 會 開始 將 主管 要求 的 工作 做完 ， 以及 最近 我們 有 一 個 案子 ， 由 我們 兩 個 一起 做 ， 因此 我 跟 她 在一起 的 時間 越來越 多 ， 常常 一起 吃飯 ， 邊 吃 邊 聊天 ， 越來越 了 解 對方 的 喜愛 或 討厭 的 是 什麼 ， 後來 她 也 漸漸 地 幫 我 點餐 ， 幫 我 準備 飲料 ， 不知不覺 這樣 的 生活 過 了 三 個 月 ， 我 開始 發現 我 越來越 依賴 她 。,0,1,0,0
3483_8, 那 天 我 的 心 都 不 在 工作 上 ， 一 下班 時間 到 ， 我 馬上 下班 到 她 家 去 照顧 ， 以及 就 是 那 一 天 ， 我 對 她 表白 我 的 心 ， 所以 我們 交往 了 。,1,1,0,1
3483_10, 真的 我 不能 沒有 她 。,0,0,0,1
3485_5, 我 要 跟 你 告訴 一 個 非常 好 的 消息 。,0,0,1,0
3485_8, 我 聽 著 聽 著 就 被 她 漂亮 的 聲音 感動 了 。,0,0,1,0
3485_9, 晚會 結束 後 ， 我 馬上 就 去 找 她 ， 感謝 那麼 一流 的 音樂會 。,0,0,1,0
3485_10, 有 機會 的話 ， 我們 可能 一起 彈 吉他 ， 一邊 彈 一邊 聊天 。,0,0,1,0
3485_11, 後來 我們 往往 去 公園 散步 、 餐廳 吃飯 、 一起 看 表演 等 。,0,1,0,0
3485_13, 有時候 我 太 緊張 了 ， 一 次 在 電影院 裡 ， 我 把 她 的 飲料 丟掉 ， 好 丟臉 ！,1,0,1,0
3485_14, 幸虧 只有 水 ， 比 咖啡 沒有 那麼 嚴重 。,0,0,1,0
