id,sentence,M,R,S,W
0003_4, 我 先 恭喜 妳 ， 我 以前 知道 妳 又 很 聰明 又 用功 ， 所以 你 快 一點 找到 了 工作 。,1,1,0,0
0005_6, 你 開 一 個 慶祝會 的 時候 我 不能 會 參加 ， 是 因為 我 在 外國 做 工作 。,0,1,0,0
0007_1, 我 聽 了 ， 你 找到 了 一 份 工作 了 。,0,0,1,0
0007_2, 我 聽 的 時候 很 高興 的 不得了 了 。,0,0,1,0
0007_6, 當然 我 也 要 參加 給 你 慶祝 慶祝 。,0,1,0,0
0007_8, 要是 兩 、 三 天 晚 ， 請 別 生氣 。,1,0,0,1
0008_1, 祝 你 找到 工作 ！,0,0,1,0
0008_3, 我 知道 你 的 很 好 的 消息 時候 ， 我 很 開心 。,1,0,0,0
0008_6, 我們 有 時間 時候 再 見面 吧 ！,1,0,0,0
0008_7, 下 次 請 我 給 你 好好兒 的 慶祝 慶祝 ！,1,0,1,0
0009_1, 你 好 嗎 ？,1,0,0,0
0009_5, 因為 我 回國 看 我 的 父母 的 關係 ， 沒有 辦法 參加 。,1,0,0,0
0010_1, 祝 你 找到 了 工作 。,0,0,1,0
0010_2, 最近 找到 工作 很 難 ， 可是 你 容易 找到 。,1,0,0,0
0011_0, 你 好 ！,0,0,1,0
0011_2, 我 聽到 你 找到 工作 。,1,0,1,0
0011_5, 我 寫 卡 是 為 了 恭喜 你 ， 還 有 我 要 說 我 不能 去 慶祝會 。,1,0,1,0
0011_6, 我 對 你 很 抱歉 。,1,0,0,0
0011_12, 我 答應 你 ， 我 回來 的 時候 ， 我 一定 要 帶送給 你 的 禮物 。,0,0,1,0
0012_2, 我 為 你 真 高興 。,0,0,1,0
0012_3, 謝謝 你 邀請 我 來 你 慶祝會 ， 但是 我 不能 參加 ， 因為 我 已經 跟 我 的 男朋友 約好 了 一起 去 旅行 。,1,0,0,0
0012_4, 我們 在 你 開 晚會 的 那 一 天 就 出去 ， 可是 我 真 希望 回來 以後 再 跟 你 見面 。,0,1,1,0
0012_5, 恭喜 發財 ！,0,0,1,0
0015_7, 沒關係 我 到 了 法國 ， 寄給 你 很 好 的 禮物 。,1,0,0,0
0017_1, 你 找到 了 好 工作 ， 恭喜 ， 恭喜 。,1,0,0,0
0017_2, 我 高興 得 要 馬上 給 你 寄 信 了 。,0,1,0,0
0017_4, 我 要 去 你 開 的 慶祝會 ， 可是 我 不能 去 ， 因為 那 天 有 我 哥哥 的 婚禮典 ， 我 一定 需要 參加 。,0,0,1,0
0017_6, 所以 我 要 下 次 跟 你 一起 吃飯 ， 請 你 告訴 我 你 的 工作 枕木 。,1,1,0,1
0018_6, 我 希望 我 不 在 的 時候 你 會 快樂 地 慶祝 慶祝 。,1,0,0,0
0019_1, 我 是 張愛文 ， 聽說 你 找 得 到 好好 的 工作 ， 我 恭喜 妳 找到 工作 啊 。,0,0,1,0
0019_2, 可是 現在 最近 我 工作 很 忙 ， 所以 我 不能 參加 你 的 慶祝會 ， 希望 我 不 讓 你 難過 ， 現在 我 做完 工作 ， 打算 找 你 請客 好 不好 。,1,1,0,0
0019_3, 最近 我 有 很多 功課 ， 除了 功課 以外 ， 家 的 事 也 很 忙 ， 常常 忘 了 時間 吃飯 ， 因為 現在 有 很多 人 沒有 工作 ， 你 很 棒 啊 ， 希望 你 應該 好好 的 工作 啊 。,1,1,1,1
0019_4, 我 有空 的 時候 ， 跟,1,0,0,0
0019_5, 張愛文 ， 上,1,0,0,0
0020_6, 因為 我 明天 要 很 重要 的 考試 所以 不能 參加 。,0,0,1,0
0020_7, 下 次 讓 我 聽 你 的 話 ！,0,0,1,0
0020_9, 敬祝 張愛文 敬上 ２００９，０７，３１,0,0,0,1
0023_6, 我 聽說 ， 你 找到 新 工作 ， 我 很 高興 。,1,0,0,0
0023_7, 因為 ， 我 去 法國 四， 五 天 ， 所以 我 不能 去 ， 對不起 。,1,0,0,0
0025_3, 很 好 你 找到 一 個 工作 。,1,0,0,1
0025_6, 我 的 哥哥 也 生病 了 ， 所以 我 常常 要 去 醫院 看見 他 。,0,0,1,0
0025_7, 不好意思 我 不會 看見 你 。,1,0,1,0
0025_8, 我 覺得 下 個 月 比較 好 ， 沒有 這 個 月 這麼 忙 所以 下,0,1,0,0
0026_3, 聽說 你 準備 開 一 個 祝會 ， 那 天 我 不能 跟 你 參加 。,0,1,1,0
0026_5, 因為 那 天 我 有 事情 ， 得到 台中 了 。,1,1,0,0
0026_6, 所以 我 不能 來 跟 你 。,0,1,0,0
0027_1, 你 找到 工作 ， 恭喜 恭喜 ！,1,0,0,0
0027_2, 我 慶祝 會不能 參加 ， 真的 不好意思 。,0,0,0,1
0027_3, 因為 我 跟 父母 要 一起 出去 ， 所以 沒有 時間 。,0,0,0,1
0027_4, 我 知道 ， 你 很 久 以前 找 工作 很 幸苦 。,1,0,0,0
0027_6, 你 的 最近 的 時間 是 很 好 的 經驗 ！,0,1,1,0
0028_1, 我 很 開心 聽到 你 開始 工作 。,1,0,0,0
0028_2, 我 一定 要 參加 恭喜 你 的 會 。,0,0,1,0
0028_5, 那 個 是 真的 重要 的 工作 。,1,0,0,1
0028_6, 所以 ， 我 不能 參加 。,1,0,0,0
0031_4, 我 想 參加 你 的 慶祝會 ， 可是 那 天 我 打算 跟 我 爸爸 、 媽媽 一起 去 旅行 ， 所以 不能 去 。,0,0,1,0
0032_3, 我 最近 工作 的 很 忙 ， 一 天 也 不能 休息 ， 可惜 我 不能 參加 你 的 慶祝會 。,0,0,0,1
0032_4, 其實 我 很 想 去 看 你們 那兒 ， 那麼 放暑假 的 時候 我 一定 去 。,1,0,1,1
0034_3, 我 聽到 你 已經 找到 一 份 工作 。,1,0,1,0
0034_4, 我 知道 現在 找 工作 很 難 ， 所以 我 覺得 你 又 聰明 又 用功 。,0,0,1,0
0034_6, 你 慶祝會 的 時候 ， 你 好好兒 地 熱鬧熱 ！,1,0,1,0
0034_8, 我 媽媽 這 個 星期二 要 我 跟 她 去 台灣 ， 所以 我 不 能 。,1,0,0,0
